occurrence_id,token,tex_line,context_sha256,context,classification,obligation_ids,audit_note
UC-16e2b863b8379f44,independently,77,f130a3acbfb7d43158556355204d626d0b838dbc166586a6f3f8c72284de93f1,are settled by independently re-checkable certificates produced in GAP.,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Abstract-level theorem or coverage claim; routed to the complete main-proof dependency bundle.
UC-1d0a7fa919caec01,maximal,89,51bac0e33ef7c96f3e06f9cb396c9d7779ea921a99466015392f5af97a9ad361,product of any two of its non-conjugate maximal subgroups?},MATHEMATICAL-CLAIM,K1-TT;LIT-KOUROVKA;LIT-PRIORITY;MANUSCRIPT-CODE,"Problem statement, literature, or priority claim; routed to exact literature and wording controls."
UC-f58acbe27330f3bc,maximal,93,3ccd3455bb5b1e8aaabc0a7f70073de063ad8d08b116cf3a5eeed62072167d3e,"whose maximal subgroups are all conjugate satisfies it vacuously,",MATHEMATICAL-CLAIM,K1-TT;LIT-KOUROVKA;LIT-PRIORITY;MANUSCRIPT-CODE,"Problem statement, literature, or priority claim; routed to exact literature and wording controls."
UC-eba896c2854dc9c1,all,93,3ccd3455bb5b1e8aaabc0a7f70073de063ad8d08b116cf3a5eeed62072167d3e,"whose maximal subgroups are all conjugate satisfies it vacuously,",MATHEMATICAL-CLAIM,K1-TT;LIT-KOUROVKA;LIT-PRIORITY;MANUSCRIPT-CODE,"Problem statement, literature, or priority claim; routed to exact literature and wording controls."
UC-6c9909722b218054,every,94,61856ccad0b16cea93bf7b7c1853f81a7f116b070f4f4ce852a5b570744b4dfa,"and $S_4 = AB$ for every pair of non-conjugate maximals $A,B$. The content",MATHEMATICAL-CLAIM,K1-TT;LIT-KOUROVKA;LIT-PRIORITY;MANUSCRIPT-CODE,"Problem statement, literature, or priority claim; routed to exact literature and wording controls."
UC-3c78436e7053fcfe,maximals,94,61856ccad0b16cea93bf7b7c1853f81a7f116b070f4f4ce852a5b570744b4dfa,"and $S_4 = AB$ for every pair of non-conjugate maximals $A,B$. The content",MATHEMATICAL-CLAIM,K1-TT;LIT-KOUROVKA;LIT-PRIORITY;MANUSCRIPT-CODE,"Problem statement, literature, or priority claim; routed to exact literature and wording controls."
UC-dabf84b392dd49e1,every,99,c2a1a9b2b6ce5c2f23f25100c1340d4c7c96c58159a4410841045738c588e3a2,Let $G$ be a finite group such that $G=AB$ for every pair of maximal,MATHEMATICAL-CLAIM,K1-TT;LIT-KOUROVKA;LIT-PRIORITY;MANUSCRIPT-CODE,"Problem statement, literature, or priority claim; routed to exact literature and wording controls."
UC-c04e351c8c62adfc,maximal,99,c2a1a9b2b6ce5c2f23f25100c1340d4c7c96c58159a4410841045738c588e3a2,Let $G$ be a finite group such that $G=AB$ for every pair of maximal,MATHEMATICAL-CLAIM,K1-TT;LIT-KOUROVKA;LIT-PRIORITY;MANUSCRIPT-CODE,"Problem statement, literature, or priority claim; routed to exact literature and wording controls."
UC-2e06298cd865b295,all,103,de063e12ab54a190ced8cb04e3bef9469c46bed7f018ebc701bed7c5d96673bd,"Throughout, we say $G$ has \emph{property $\mathrm{P}$} if $G=AB$ for all",DEFINITION,K1-TT;LIT-KOUROVKA;LIT-PRIORITY;MANUSCRIPT-CODE,Definition or fixed notation; its later mathematical uses are routed by the surrounding proof obligations.
UC-ef03137c34ac7148,maximal,104,8c024b0df57598ec9eea0267378cc598e45ad67b971064b874b7045aa8e474c2,"non-conjugate maximal $A,B\leq G$.",DEFINITION,K1-TT;LIT-KOUROVKA;LIT-PRIORITY;MANUSCRIPT-CODE,Definition or fixed notation; its later mathematical uses are routed by the surrounding proof obligations.
UC-b9e798d41eb3f3fc,completed,112,caf418c7a51b3351c9b04260b903eed4413b23afc3d6bbdca6fac22b8ccf4ff3,them.  Searches completed on 1 August 2026 found no published full proof;,MATHEMATICAL-CLAIM,K1-TT;LIT-KOUROVKA;LIT-PRIORITY;MANUSCRIPT-CODE,"Problem statement, literature, or priority claim; routed to exact literature and wording controls."
UC-4451621e83ee239b,maximal,120,a45130f62cb7b3a8ebf943428f5b784c60361414ba135013e5747066c2f5cd17,The maximal factorizations of finite simple groups and their automorphism,MATHEMATICAL-CLAIM,K1-TT;LIT-KOUROVKA;LIT-PRIORITY;MANUSCRIPT-CODE,"Problem statement, literature, or priority claim; routed to exact literature and wording controls."
UC-46ddaa650fdabaa2,maximal,124,822b09f57d17686dc2261f82f53071846567c3b1dea003192708bc4b490c32ea,valuation obstruction avoids importing the full maximal-factorization tables.,MATHEMATICAL-CLAIM,K1-TT;LIT-KOUROVKA;LIT-PRIORITY;MANUSCRIPT-CODE,"Problem statement, literature, or priority claim; routed to exact literature and wording controls."
UC-ff6b50165a537773,unique,127,578ad117ae9969d1e35fe6e9ca872cc9437b0377ac3ffeaa19a1e8b1d91d5ae6,A minimal counterexample $G$ has a unique minimal normal subgroup,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-409b00ef98c5ebbb,stable,129,a0501d568edc731c1ee0a12c130035553ac5fbff9c635225e67661bfb7aee580,(\S\ref{sec:reduction}). For an automorphism-stable conjugacy class $[V]$,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-971450d62f991ed2,maximal,130,713cbff24a2eb541c42235ef93b7b823ab20be2a199824a62806ab9ec86772c4,"of suitable subgroups $V<S$, the normalizer $B_V=N_G(V^k)$ is a maximal",MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-f970a7457fba3a1b,exactly,131,a1143db8ad0e435924f37868d32a712bec359324f3d6d47672fbab9d6deb8095,subgroup of $G$ of order exactly $|G/N|\cdot|V|^k$,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-3430a7fbe6e2a1a0,stable,138,a0ad39ff92bee7651c1258c2adf2753b5121fed0f1316c4eb21d2a8003b209dc,(Theorem~\ref{thm:D}) is that a \emph{single} pair of stable classes in,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-988631e76a0bd3c0,every,140,99fe84e0eac84f3eeda37bdddbe670713191f740c7fda1e1e36403948df91a80,every $k\geq 2$ and every admissible embedding at once.,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-69802b13837fcd27,every,140,99fe84e0eac84f3eeda37bdddbe670713191f740c7fda1e1e36403948df91a80,every $k\geq 2$ and every admissible embedding at once.,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-c81053e87318ca79,every,142,4fe4bc2afdff5642b3b822ef65281088a519821b2a724831f62623774a06a175,The $k\geq2$ branch thus reduces to exhibiting such a pair for every finite,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-8280b638f8c1dbbe,maximality,150,1c803df8ff48a6440193d4fffdaf355a7851a9dad2c1a9a2b49e1642b2f626fb,"configurations (Zsigmondy exceptions, small-field maximality exceptions,",MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-f03005f0c0a61567,all,151,65dcdac201c3a15c096e29ac310658464943a971f3b4fbc235b5814993811f46,"the outer automorphisms of $A_6$, and so on) all have order at most",MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-897fcddff70c48d8,all,156,efed8f171b610dd81abfb1a4ef85a415059becb7dccba814799433f4a6eabf9d,"Theorem~\ref{thm:psl2}; the other $13$ groups, all smaller groups, and every",MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-268f7805883c20cb,every,156,efed8f171b610dd81abfb1a4ef85a415059becb7dccba814799433f4a6eabf9d,"Theorem~\ref{thm:psl2}; the other $13$ groups, all smaller groups, and every",MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-acd5cc2eec86896d,maximal,160,dc7fbfd1c56f91cd1bf45f98ad8ac5d97a988a90d06e879f8aaf505e99797d6f,"the two exhibited classes consist of \emph{maximal} subgroups of $S$, all",MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-afad5534351636e1,all,160,dc7fbfd1c56f91cd1bf45f98ad8ac5d97a988a90d06e879f8aaf505e99797d6f,"the two exhibited classes consist of \emph{maximal} subgroups of $S$, all",MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-833b30085912143d,automatic,161,d0cac1b1eb54b91260ea8a76fcf4ac0ec918c52f7dbac7dec537bf61d18331cf,hypotheses of the machinery are automatic and only stability and the,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-fadfba55eed96b59,stable,166,cb2882e72c3f1c79ca25e10689716e4d13284bea5a8a867fca130886999c36a1,"stable under every automorphism. The twisted families,",MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-8c752b10de7c716e,every,166,cb2882e72c3f1c79ca25e10689716e4d13284bea5a8a867fca130886999c36a1,"stable under every automorphism. The twisted families,",MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-f1ce483fb8f42e52,maximal,170,bed47414c74525144b7f643d5e03ac6f9d059b9333772f5e79bb7658a43657dc,the corresponding \emph{flag} parabolics (intersections of fused maximal,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-a1eb8833c194702c,maximal,171,445e5d0b75a7e87a4707d4408b8c562b1d624e41d94d4be2f27c105606407aba,"parabolics) become poset-maximal among stable classes, and a structural",MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-bda991a294506409,stable,171,445e5d0b75a7e87a4707d4408b8c562b1d624e41d94d4be2f27c105606407aba,"parabolics) become poset-maximal among stable classes, and a structural",MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-17b15f876aecca6c,all,172,088f7b7b06b98e616d0c05fceb3b5cbd44a91b4e723878d5ecba9ecc4fd6382b,lemma (Lemma~\ref{lem:P}) shows they satisfy all needed hypotheses; this,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-fe873c0ab78c7d07,maximal,173,c4b7c1b949d1f4dd6d19eaae204da4b940d52e920546d9d9e9120eeae6805869,is the wreath-product analogue of the ``novelty'' phenomenon for maximal,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Strategy-level mathematical claim; routed to the exact main-proof dependency bundle.
UC-6b5e2a6d65d66b41,certified,177,4e0ee7ede1d9d8ee975f3bc100d61f40940da42e311bcbd3f8dd231b58ccd5fb,The machine-certified ingredients were produced with GAP~4.16.0,METHODOLOGY-CLAIM,COMP-ENV;COMP-INDEPENDENT;DETERMINISM;FORMAL-CLEAN;MANUSCRIPT-CODE,Verification-method statement; checked against the locked formal and computational package.
UC-3e6632209ff9bac9,Every,190,13ac9722d90690e8113415e7b60085a6afba8df43a1c6b5a33553d692da99e75,search) are excluded from the certificate path. Every finite,METHODOLOGY-CLAIM,COMP-ENV;COMP-INDEPENDENT;DETERMINISM;FORMAL-CLEAN;MANUSCRIPT-CODE,Verification-method statement; checked against the locked formal and computational package.
UC-914410e7937de902,exactly,197,3bc85b32b3880b8e7d51d2ca11dc7ce52c72875b694370dba10d4c78e481f7fe,\S\ref{sec:machine} specifies exactly what is claimed from,METHODOLOGY-CLAIM,COMP-ENV;COMP-INDEPENDENT;DETERMINISM;FORMAL-CLEAN;MANUSCRIPT-CODE,Verification-method statement; checked against the locked formal and computational package.
UC-f97d231020519fa9,certified,198,bc8763db967a55c08803e406595f5745dc2b7aa846bcaa9dd08779d82552cc3e,the machine and how it is certified.,METHODOLOGY-CLAIM,COMP-ENV;COMP-INDEPENDENT;DETERMINISM;FORMAL-CLEAN;MANUSCRIPT-CODE,Verification-method statement; checked against the locked formal and computational package.
UC-9b463850782d8db3,uniqueness,202,bb5473a157d0a6fc8002a1d33fad64ac9c0d483b30a087aa7fc15d6f096adbaa,the minimal-counterexample core (uniqueness of the minimal normal,METHODOLOGY-CLAIM,COMP-ENV;COMP-INDEPENDENT;DETERMINISM;FORMAL-CLEAN;MANUSCRIPT-CODE,Verification-method statement; checked against the locked formal and computational package.
UC-05c80e291dc4b2f2,maximality,205,70974362ea581ca583ace33e831a3fb4e784729bb1c2c4369f1b2ce67802960e,"maximality statements, under the normalized coordinate-action",METHODOLOGY-CLAIM,COMP-ENV;COMP-INDEPENDENT;DETERMINISM;FORMAL-CLEAN;MANUSCRIPT-CODE,Verification-method statement; checked against the locked formal and computational package.
UC-4af48aa58a5e81fb,unique,228,4093429bf7ac0b389270cfe10577c939036f827b5f3526b6821d29a5add3ff6b,"Minimal counterexample has unique minimal normal subgroup $S^k$,",METHODOLOGY-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC;FORMAL-CLEAN;MANUSCRIPT-CODE;COMP-INDEPENDENT,"Roadmap statement; cross-linked to the formal, cited, and computed dependencies it summarizes."
UC-1ebf34e2898076d9,uniqueness,232,262ebf19297a9481867b26b891c2814c639f7f7654cb9212a2bba6d90c6eca94,"(uniqueness, soluble quotient, trivial centralizer) kernel-checked in",METHODOLOGY-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC;FORMAL-CLEAN;MANUSCRIPT-CODE;COMP-INDEPENDENT,"Roadmap statement; cross-linked to the formal, cited, and computed dependencies it summarizes."
UC-3116a53f52e5995c,stable,235,60820c3b120ee0644d7a93656c2c96a815e85bb3ac7e7f7285a68ac302c80a06,"Normalizers $B_V=N_G(V^k)$ of stable classes are maximal,",METHODOLOGY-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC;FORMAL-CLEAN;MANUSCRIPT-CODE;COMP-INDEPENDENT,"Roadmap statement; cross-linked to the formal, cited, and computed dependencies it summarizes."
