requirement_id,source_section,category,requirement,submission_required,confidence99_required,phd_defense_required,obligation_ids,closure_condition,derived_status,next_action
G1-20,Gate 1,formal hygiene,Make formal theorem statements match the manuscript rather than weakened proxies.,NO,YES,NO,FORMAL-CLEAN;MANUSCRIPT-CODE;FORM-CORE,Coverage binds exact manuscript claims and leaves partial claims open.,OPEN,"Close RED-COORD, then audit FORMAL-COVERAGE.json against the final manuscript before marking FORM-CORE passed."
G1-21,Gate 1,risk reduction,Use the published Tikhonenko-Tyutyanov result as the essential k=1 branch.,YES,YES,YES,K1-TT,The exact theorem and bibliography are pinned and the main proof routes k=1 to it.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-22,Gate 1,aggregate formal core,Kernel-check the entire genuinely new abstract core of Sections 2-4.,NO,YES,NO,FORM-CORE,"All constituent formal claims, including RED-COORD, are closed and coverage-exact.",OPEN,Close RED-COORD and rerun the exact formal-coverage audit; do not mark this aggregate row early.
G2-01,Gate 2,novelty witness,Certify 1<V<S for every non-maximal witness.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,Every selected novelty record satisfies the stated predicate and any failure is fatal.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-02,Gate 2,novelty witness,Certify N_S(V)=V for every witness requiring self-normalization.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,Every selected novelty record satisfies the stated predicate and any failure is fatal.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-03,Gate 2,novelty witness,Certify the S-class of V is stable under the exact coordinate closure X.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,Every selected novelty record satisfies the stated predicate and any failure is fatal.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-04,Gate 2,novelty witness,Certify maximality in the relevant X-stable self-normalizing-class poset.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT;SUP-MAX,Every selected novelty record satisfies the stated predicate and any failure is fatal.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-05,Gate 2,novelty witness,Certify normal saturation in every actual overgroup.,YES,YES,NO,COMP-K2,Every selected novelty record satisfies the stated predicate and any failure is fatal.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-06,Gate 2,novelty witness,Certify the paired subgroup classes are distinct.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,Every selected novelty record satisfies the stated predicate and any failure is fatal.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-07,Gate 2,novelty witness,Recompute the exact valuation inequality for the pair.,YES,YES,NO,COMP-INDEPENDENT;DIV-ARITH,Every selected novelty record satisfies the stated predicate and any failure is fatal.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-08,Gate 2,certificate schema,Record a persistent exact identifier for S.,YES,YES,NO,COMP-K2;COMP-INDEPENDENT,The frozen certificate and independent parser bind the field to the exact orbit.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-09,Gate 2,certificate schema,Record the exact coordinate-closure X identifier and action fingerprint.,YES,YES,NO,COMP-K2;COMP-INDEPENDENT,The frozen certificate and independent parser bind the field to the exact orbit.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-10,Gate 2,certificate schema,Record a persistent class identifier for V.,YES,YES,NO,COMP-K2;COMP-INDEPENDENT,The frozen certificate and independent parser bind the field to the exact orbit.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-11,Gate 2,certificate schema,Record a persistent class identifier for each overgroup W.,YES,YES,NO,COMP-K2;COMP-INDEPENDENT,The frozen certificate and independent parser bind the field to the exact orbit.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-12,Gate 2,certificate schema,Record every embedding-orbit identifier.,YES,YES,NO,COMP-K2;COMP-INDEPENDENT,The frozen certificate and independent parser bind the field to the exact orbit.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-13,Gate 2,certificate schema,Record |V| exactly.,YES,YES,NO,COMP-K2;COMP-INDEPENDENT,The frozen certificate and independent parser bind the field to the exact orbit.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-14,Gate 2,certificate schema,Record |W| exactly.,YES,YES,NO,COMP-K2;COMP-INDEPENDENT,The frozen certificate and independent parser bind the field to the exact orbit.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-15,Gate 2,certificate schema,"Record |NormalClosure(W,V')| exactly.",YES,YES,NO,COMP-K2;COMP-INDEPENDENT,The frozen certificate and independent parser bind the field to the exact orbit.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-16,Gate 2,certificate schema,Record an explicit pass/fail result per orbit.,YES,YES,NO,COMP-K2;COMP-INDEPENDENT,The frozen certificate and independent parser bind the field to the exact orbit.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-17,Gate 2,independence,Method A uses actual overgroups of a fixed representative V.,YES,YES,NO,COMP-K2,IntermediateSubgroups supplies the actual-overgroup path.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-18,Gate 2,independence,Method B uses all contained-conjugate or direct double-coset representatives.,YES,YES,NO,COMP-K2,The second algorithm enumerates all embedding orbits independently.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G2-19,Gate 2,independence,Treat any disagreement between saturation algorithms as a hard failure.,YES,YES,NO,COMP-K2;MUTATIONS,A deliberate mismatch is detected and cannot yield a certificate.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-01,Gate 3,family-row obligation,Establish existence of every selected subgroup for the stated parameters.,YES,YES,NO,SRC-MAXIMALITY,Every family row has exact source/certificate evidence and matching assumptions.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-02,Gate 3,family-row obligation,Establish every selected subgroup and Levi order/structure exactly.,YES,YES,NO,SRC-ORDER-FORMULAS;SRC-2E6-LEVI,Every family row has exact source/certificate evidence and matching assumptions.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G3-03,Gate 3,family-row obligation,Establish properness of every selected subgroup.,YES,YES,NO,SRC-MAXIMALITY,Every family row has exact source/certificate evidence and matching assumptions.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-04,Gate 3,family-row obligation,Establish maximality or route through the novelty lemma.,YES,YES,NO,SRC-MAXIMALITY;PAR-NOVELTY,Every family row has exact source/certificate evidence and matching assumptions.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-05,Gate 3,family-row obligation,Establish self-normalization wherever required.,YES,YES,NO,SRC-MAXIMALITY;PAR-NOVELTY,Every family row has exact source/certificate evidence and matching assumptions.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-06,Gate 3,family-row obligation,Establish stability under every relevant coordinate closure X.,YES,YES,NO,SRC-AUTOMORPHISMS,Every family row has exact source/certificate evidence and matching assumptions.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-07,Gate 3,family-row obligation,Establish that the two selected classes are not fused.,YES,YES,NO,SRC-AUTOMORPHISMS;COMP-INDEPENDENT,Every family row has exact source/certificate evidence and matching assumptions.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-08,Gate 3,family-row obligation,Route every exceptional parameter explicitly.,YES,YES,NO,CFSG-BOUNDARIES;SRC-BOUNDARY-ISOMORPHISMS,Every family row has exact source/certificate evidence and matching assumptions.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G3-09,Gate 3,high-risk Lie case,Audit D4(q) triality and every possible graph image.,YES,YES,NO,SRC-AUTOMORPHISMS;SRC-MAXIMALITY,The exact high-risk source-map row and exception destination pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-10,Gate 3,high-risk Lie case,Audit all four ^2E6(q) parabolic classes and Levi structures.,YES,YES,NO,SRC-2E6-LEVI;SRC-MAXIMALITY,The exact high-risk source-map row and exception destination pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-11,Gate 3,high-risk Lie case,Audit twisted-group BN-pairs and full-automorphism stability.,YES,YES,NO,SRC-TWISTED-BN;SRC-AUTOMORPHISMS,The exact high-risk source-map row and exception destination pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-12,Gate 3,high-risk Lie case,"Audit PSL(n,q) graph duality and flag parabolics.",YES,YES,NO,SRC-AUTOMORPHISMS;SRC-MAXIMALITY,The exact high-risk source-map row and exception destination pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-13,Gate 3,high-risk Lie case,"Audit Sp(4,2^f) exceptional graph-field automorphisms.",YES,YES,NO,SRC-AUTOMORPHISMS,The exact high-risk source-map row and exception destination pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-14,Gate 3,high-risk Lie case,Audit F4(2^f) exceptional graph-field automorphisms.,YES,YES,NO,SRC-AUTOMORPHISMS,The exact high-risk source-map row and exception destination pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-15,Gate 3,high-risk Lie case,Audit G2(3^f) exceptional graph-field automorphisms.,YES,YES,NO,SRC-AUTOMORPHISMS,The exact high-risk source-map row and exception destination pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-16,Gate 3,high-risk Lie case,Audit Suzuki fixed-point subgroup identifications.,YES,YES,NO,SRC-AUTOMORPHISMS;SRC-MAXIMALITY,The exact high-risk source-map row and exception destination pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-17,Gate 3,high-risk Lie case,Audit Ree fixed-point subgroup identifications.,YES,YES,NO,SRC-AUTOMORPHISMS;SRC-MAXIMALITY,The exact high-risk source-map row and exception destination pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-18,Gate 3,high-risk Lie case,Audit subfield fixed-point subgroup identifications.,YES,YES,NO,SRC-AUTOMORPHISMS;SRC-MAXIMALITY,The exact high-risk source-map row and exception destination pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-19,Gate 3,high-risk Lie case,Audit every low-parameter maximality exception.,YES,YES,NO,SRC-MAXIMALITY;CFSG-BOUNDARIES,The exact high-risk source-map row and exception destination pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-20,Gate 3,source standard,Give an exact source for every external structural assertion.,YES,YES,NO,SRC-TWISTED-BN;SRC-2E6-LEVI;SRC-AUTOMORPHISMS;SRC-MAXIMALITY,Every source-map row contains the required pinpoint and matching note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-21,Gate 3,source standard,"Record the exact theorem, proposition, or table number.",YES,YES,NO,SRC-TWISTED-BN;SRC-2E6-LEVI;SRC-AUTOMORPHISMS;SRC-MAXIMALITY,Every source-map row contains the required pinpoint and matching note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-22,Gate 3,source standard,Record the exact page.,YES,YES,NO,SRC-TWISTED-BN;SRC-2E6-LEVI;SRC-AUTOMORPHISMS;SRC-MAXIMALITY,Every source-map row contains the required pinpoint and matching note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-23,Gate 3,source standard,Record the source assumptions.,YES,YES,NO,SRC-TWISTED-BN;SRC-2E6-LEVI;SRC-AUTOMORPHISMS;SRC-MAXIMALITY,Every source-map row contains the required pinpoint and matching note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-24,Gate 3,source standard,Explain why the source assumptions match manuscript notation and parameters.,YES,YES,NO,SRC-TWISTED-BN;SRC-2E6-LEVI;SRC-AUTOMORPHISMS;SRC-MAXIMALITY,Every source-map row contains the required pinpoint and matching note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G3-25,Gate 3,source standard,Give independent corroboration for the highest-risk facts.,YES,YES,NO,SRC-TWISTED-BN;SRC-2E6-LEVI;SRC-AUTOMORPHISMS;SRC-MAXIMALITY,Every source-map row contains the required pinpoint and matching note.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G4-SUB-01,Gate 4,submission arithmetic,Pin the simple-group order formula used in every family branch.,YES,YES,NO,SRC-ORDER-FORMULAS,"The manuscript proof, exact source, manifest route, and independent symbolic/finite evidence agree.",OPEN,Close every mapped obligation without weakening its statement or required evidence.
G4-SUB-02,Gate 4,submission arithmetic,Pin both selected subgroup or Levi order formulas.,YES,YES,NO,SRC-ORDER-FORMULAS,"The manuscript proof, exact source, manifest route, and independent symbolic/finite evidence agree.",OPEN,Close every mapped obligation without weakening its statement or required evidence.
G4-SUB-03,Gate 4,submission arithmetic,State and check the precise primitive-prime exponent.,YES,YES,NO,ARITH-SYMBOLIC;MANUSCRIPT-CODE,"The manuscript proof, exact source, manifest route, and independent symbolic/finite evidence agree.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G4-SUB-04,Gate 4,submission arithmetic,Prove the primitive prime divides |S|.,YES,YES,NO,ARITH-SYMBOLIC;SRC-ORDER-FORMULAS,"The manuscript proof, exact source, manifest route, and independent symbolic/finite evidence agree.",OPEN,Close every mapped obligation without weakening its statement or required evidence.
G4-SUB-05,Gate 4,submission arithmetic,Prove it avoids the first selected subgroup.,YES,YES,NO,ARITH-SYMBOLIC;SRC-ORDER-FORMULAS,"The manuscript proof, exact source, manifest route, and independent symbolic/finite evidence agree.",OPEN,Close every mapped obligation without weakening its statement or required evidence.
G4-SUB-06,Gate 4,submission arithmetic,Prove it avoids the second selected subgroup.,YES,YES,NO,ARITH-SYMBOLIC;SRC-ORDER-FORMULAS,"The manuscript proof, exact source, manifest route, and independent symbolic/finite evidence agree.",OPEN,Close every mapped obligation without weakening its statement or required evidence.
G4-SUB-07,Gate 4,submission arithmetic,Prove it avoids x=|X/Inn(S)|.,YES,YES,NO,ARITH-SYMBOLIC;SRC-AUTOMORPHISMS,"The manuscript proof, exact source, manifest route, and independent symbolic/finite evidence agree.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G4-SUB-08,Gate 4,submission arithmetic,Record every simplicity restriction.,YES,YES,NO,CFSG-BOUNDARIES;SRC-BOUNDARY-ISOMORPHISMS,"The manuscript proof, exact source, manifest route, and independent symbolic/finite evidence agree.",OPEN,Close every mapped obligation without weakening its statement or required evidence.
G4-SUB-09,Gate 4,submission arithmetic,Record and route every Zsigmondy exception.,YES,YES,NO,SRC-ZSIGMONDY;CFSG-BOUNDARIES,"The manuscript proof, exact source, manifest route, and independent symbolic/finite evidence agree.",OPEN,Close every mapped obligation without weakening its statement or required evidence.
G4-SUB-10,Gate 4,submission arithmetic,Record and route every small-field maximality exception.,YES,YES,NO,SRC-MAXIMALITY;CFSG-BOUNDARIES,"The manuscript proof, exact source, manifest route, and independent symbolic/finite evidence agree.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G4-SUB-11,Gate 4,submission arithmetic,Bind each exception to its exact finite or substitute-prime certificate.,YES,YES,NO,CFSG-BOUNDARIES;COMP-FINITE-BASE;ARITH-SYMBOLIC,"The manuscript proof, exact source, manifest route, and independent symbolic/finite evidence agree.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G4-99-01,Gate 4,99% arithmetic,Capture every infinite-family formula and branch in an exact formal or universal symbolic theorem.,NO,YES,NO,ARITH-UNIVERSAL,"No published branch, hypothesis, formula, or exception remains outside the exact checker.",OPEN,Extend the exact symbolic/formal specification to all Theorems 6.1-6.6 and bind every formula to a source row.
G4-99-02,Gate 4,99% arithmetic,Mechanically generate a complete exception manifest from the universal arithmetic proof.,NO,YES,NO,ARITH-UNIVERSAL;CFSG-BOUNDARIES,The universal proof and exception manifest are mutually checked.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G4-99-03,Gate 4,99% arithmetic,Check the exception manifest against the finite computational base.,NO,YES,NO,ARITH-UNIVERSAL;COMP-FINITE-BASE,Every formal exception has exactly one finite destination.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G4-99-04,Gate 4,99% arithmetic,Use a second arithmetic implementation that does not consume the first checker conclusions.,NO,YES,NO,ARITH-UNIVERSAL;ARITH-SYMBOLIC;ARITH-REGRESSION,"Independent code reproduces family, branch, exponent, exclusions, and exceptions.",OPEN,Close every mapped obligation without weakening its statement or required evidence.
G4-REG-01,Gate 4,regression boundary,"Label all 7,892 tested instances as regression evidence rather than universal proof.",YES,YES,NO,ARITH-REGRESSION;MANUSCRIPT-CODE,The manuscript and logs explicitly preserve this distinction.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G5-01,Gate 5,CFSG coverage,Maintain a machine-readable row for every CFSG family.,YES,YES,NO,CFSG-INVENTORY,The independent manifest checker and manuscript route assertions pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G5-02,Gate 5,CFSG coverage,"Give every family/parameter branch exactly one uniform theorem, finite exception, or exceptional-isomorphism destination.",YES,YES,NO,CFSG-INVENTORY;CFSG-BOUNDARIES,The independent manifest checker and manuscript route assertions pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G5-03,Gate 5,CFSG coverage,Reject every uncovered family.,YES,YES,NO,CFSG-INVENTORY,The independent manifest checker and manuscript route assertions pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G5-04,Gate 5,CFSG coverage,Reject every uncovered parameter interval.,YES,YES,NO,CFSG-BOUNDARIES,The independent manifest checker and manuscript route assertions pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G5-05,Gate 5,CFSG coverage,Reject ambiguous boundaries.,YES,YES,NO,CFSG-BOUNDARIES,The independent manifest checker and manuscript route assertions pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G5-06,Gate 5,CFSG coverage,Exclude every non-simple low parameter.,YES,YES,NO,CFSG-BOUNDARIES;SRC-BOUNDARY-ISOMORPHISMS,The independent manifest checker and manuscript route assertions pass.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G5-07,Gate 5,CFSG coverage,Reconcile every exceptional isomorphism.,YES,YES,NO,CFSG-BOUNDARIES;SRC-BOUNDARY-ISOMORPHISMS,The independent manifest checker and manuscript route assertions pass.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G5-08,Gate 5,CFSG coverage,Require every Zsigmondy exception in the finite exception manifest.,YES,YES,NO,CFSG-BOUNDARIES;SRC-ZSIGMONDY,The independent manifest checker and manuscript route assertions pass.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G5-09,Gate 5,CFSG coverage,Prevent an arbitrary finite-order threshold from silently becoming a logical hypothesis.,YES,YES,NO,CFSG-INVENTORY;MANUSCRIPT-CODE,The independent manifest checker and manuscript route assertions pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G5-10,Gate 5,CFSG coverage,Build the canonical inventory independently of the GAP sweep iterator.,YES,YES,NO,CFSG-INVENTORY,The independent manifest checker and manuscript route assertions pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G5-11,Gate 5,CFSG coverage,Use generic family theorems plus an exact finite exception list as the primary proof path.,YES,YES,NO,CFSG-INVENTORY;CFSG-BOUNDARIES,The independent manifest checker and manuscript route assertions pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G5-12,Gate 5,CFSG coverage,Treat below-threshold exhaustive sweeps only as redundant validation.,YES,YES,NO,COMP-FINITE-BASE;MANUSCRIPT-CODE,The independent manifest checker and manuscript route assertions pass.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G6-01,Gate 6,finite base,Assert that every constructed S is simple.,YES,YES,NO,COMP-FINITE-BASE;COMP-INDEPENDENT,The primary certificate and independent parser assert the exact field.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
